sore_throat,headache,disturbance_of_consciousness,convulsions,dizzy,restlessness,dementia,stridor,dyspnea,hypoxemia,coughing,pleural_effusion,blood_stained_sputum,interstitial_pattern,shock_state,chest_pain,syncope,tachycardia,edema,hypertension,hematemesis,upper_abdominal_pain,lower_abdominal_pain,low_back_pain,melena,ascites,constipation,diarrhea,vomiting,,nephrosis,high_CPK,liver_dysfunction,high_ALP,jaundice,respiratory acidosis,metabolic acidosis,hyperkalemia,hypokalemia,hypernatremia,hyponatremia,hypercalcemia,hypocalcemia,anemia,pancytopenia,eosinophilia,thrombocytopenia,coagulation disorder,paralysis,weakness,numbness,arthralgia,FUO,boredom
,一酸化炭素中毒,HUS/TTP,髄膜炎,虚血/不整脈,敗血症,橋本脳症,,喉頭蓋炎,肺高血圧,急性好酸球性肺炎,肺炎/胆のう炎,僧帽弁狭窄症,ARDS,消化管出血,大動脈解離,僧帽弁狭窄症,甲状腺機能亢進,収縮性心膜炎,,,Fitz-Hugh-Curtis 症候群,ヘルニア嵌頓/イレウス,化膿性脊椎炎/腸腰筋膿瘍,,アミロイドーシス,,,低血糖,慢性腎不全,,,心筋梗塞/心筋炎,血管炎,アミロイドーシス,,,,インスリンによる血糖補正,,水中毒,,,再生不良性貧血/MDS/白血病,発作性夜間血色素尿症,Wegener,HUS/TTP,,,薬剤,脊髄腫瘍/腫瘍随伴症候群,SLE,左房粘液腫,尿毒症
,群発頭痛,尿毒症,脳炎,起立性低血圧,"高 Ca, 低 Na 血症",辺縁系脳炎,,貧血,肺塞栓,肺癌/肺腫瘍,食道破裂,肺腫瘍,過敏性肺臓炎,甲状腺機能異常,気胸,けいれん発作,亜急性甲状腺炎,リンパ浮腫,,,急性膵炎,S状結腸捻転,椎間板ヘルニア,,,,,副腎不全,,,,甲状腺機能低下症,サルコイドーシス,サルコイドーシス,,,,アルコール依存,,甲状腺機能低下症,,,,EBV/CMV/パルボウイルス/HIV,ニューモシスチス肺炎,SLE,,,低血糖,多発性硬化症,関節リウマチ,サルコイドーシス,副腎不全
,偏頭痛/緊張性頭痛,けいれん発作,くも膜下出血,,,多発性硬化症/ADEM,,敗血症,,気管支炎/気管支拡張症,悪性腫瘍,気管支拡張症,ガスによる障害,副腎不全,食道破裂,低血糖,心不全,上大静脈症候群,,,肝臓癌,便秘,,,,,,糖尿病性ケトアシドーシス,,,,PSC,悪性腫瘍骨転移,PSC,,,,,,,,,,,結核,悪性貧血,,,低 K 血症,閉塞性動脈硬化症,,結核,褐色細胞腫
,,低酸素血症,脳出血/脳腫瘍,,,脳梗塞,,ケトアシドーシス,,,胸膜中皮腫,,癌性リンパ管症,敗血症,,消化管出血,肺塞栓,薬剤性浮腫,,,イレウス,尿閉,,,,,,アルコール性ケトアシドーシス,,,,胆石/胆管炎,副甲状腺機能亢進症,胆石/胆管炎,,,,,,,,,,,サルコイドーシス,,,,周期性四肢麻痺,アルコール依存,,副鼻腔炎,肝不全
,,一酸化炭素中毒,,,,慢性硬膜下血腫,,一酸化炭素中毒,,,,,くも膜下出血,アナフィラキシー,,子宮外妊娠,,血管性浮腫,,,大動脈瘤,,,,,,,尿毒症,,,,腫瘍による胆管閉塞,,腫瘍による胆管閉塞,,,,,,,,,,,アレルギー性肺アスペルギルス症,,,,,手根管症候群/頚椎症,,大動脈炎症候群,伝染性単核球症
,,CO2ナルコーシス,,,,,,頻拍性不整脈,,,,,,,,敗血症,,,,,食道破裂/消化管先行,,,,,,,甲状腺機能亢進症,,,,腎梗塞,,悪性リンパ腫,,,,,,,,,,,PIE,,,,,,,リウマチ性多発筋痛症,甲状腺機能亢進症
,,脳出血,,,,,,神経筋疾患,,,,,,,,迷走神経反射,,,,,消化管潰瘍,,,,,,,肝炎,,,,悪性リンパ腫,,,,,,,,,,,,,寄生虫感染症,,,,,,,膿瘍形成,甲状腺機能低下症
,,脳腫瘍,,,,,,気管支喘息,,,,,,,,異型狭心症,,,,,,,,,,,,高 Ca 血症,,,,サルコイドーシス,,,,,,,,,,,,,,,,,,,,腎癌/悪性リンパ腫,慢性甲状腺炎
,,髄膜炎,,,,,,,,,,,,,,くも膜下出血,,,,,,,,,,,,尿路結石/腎盂腎炎,,,,,,,,,,,,,,,,,,,,,,,,ウイルス感染症,うつ病/その他の疾患
,,ヘルペス脳炎,,,,,,,,,,,,,,,,,,,,,,,,,,胆石/胆のう炎,,,,,,,,,,,,,,,,,,,,,,,,,
,,辺縁系脳炎,,,,,,,,,,,,,,,,,,,,,,,,,,虫垂炎,,,,,,,,,,,,,,,,,,,,,,,,,
,,急性散在性脳脊髄炎,,,,,,,,,,,,,,,,,,,,,,,,,,イレウス,,,,,,,,,,,,,,,,,,,,,,,,,
,,高血圧脳症,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,橋本病,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
